Region,Scenario,Variable,Unit,2000,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Notes
R5LAM,IMAGE - RCP3-PD (2.6),"CH4 emissions - Waste (landfills, wastewater, non-energy incineration)",TgCH4/yr,9.444,9.875,10.683,5.521,4.177,4.108,1.881,1.276,1.162,1.042,0.916,0.805,
R5MAF,IMAGE - RCP3-PD (2.6),"CH4 emissions - Waste (landfills, wastewater, non-energy incineration)",TgCH4/yr,6.013,5.887,6.994,5.693,5.870,6.753,3.248,2.139,2.216,2.232,2.191,2.130,
R5OECD,IMAGE - RCP3-PD (2.6),"CH4 emissions - Waste (landfills, wastewater, non-energy incineration)",TgCH4/yr,17.591,16.975,17.840,6.768,5.092,5.099,3.102,2.455,2.383,2.303,2.193,2.107,
R5REF,IMAGE - RCP3-PD (2.6),"CH4 emissions - Waste (landfills, wastewater, non-energy incineration)",TgCH4/yr,5.591,5.268,4.592,2.095,1.908,1.741,0.762,0.507,0.450,0.402,0.362,0.332,
World,IMAGE - RCP3-PD (2.6),"CH4 emissions - Waste (landfills, wastewater, non-energy incineration)",TgCH4/yr,61.766,54.716,59.591,32.087,27.755,28.386,13.975,9.755,9.339,8.831,8.241,7.726,
R5ASIA,IMAGE - RCP3-PD (2.6),CH4 emissions - Industry (combustion & processing),TgCH4/yr,0.243,0.291,0.330,0.384,0.352,0.310,0.277,0.277,0.283,0.274,0.254,0.239,1) MiniCAM includes emissions from charcoal production in Industry
R5LAM,IMAGE - RCP3-PD (2.6),CH4 emissions - Industry (combustion & processing),TgCH4/yr,0.085,0.083,0.092,0.101,0.099,0.100,0.090,0.092,0.092,0.085,0.077,0.068,1) MiniCAM includes emissions from charcoal production in Industry
R5MAF,IMAGE - RCP3-PD (2.6),CH4 emissions - Industry (combustion & processing),TgCH4/yr,0.059,0.064,0.065,0.067,0.065,0.065,0.062,0.063,0.067,0.069,0.066,0.060,1) MiniCAM includes emissions from charcoal production in Industry
R5OECD,IMAGE - RCP3-PD (2.6),CH4 emissions - Industry (combustion & processing),TgCH4/yr,0.361,0.361,0.363,0.361,0.305,0.249,0.204,0.180,0.155,0.129,0.107,0.091,1) MiniCAM includes emissions from charcoal production in Industry
R5REF,IMAGE - RCP3-PD (2.6),CH4 emissions - Industry (combustion & processing),TgCH4/yr,0.130,0.133,0.121,0.097,0.080,0.068,0.060,0.056,0.049,0.040,0.033,0.028,1) MiniCAM includes emissions from charcoal production in Industry
World,IMAGE - RCP3-PD (2.6),CH4 emissions - Industry (combustion & processing),TgCH4/yr,0.878,0.932,0.972,1.010,0.901,0.793,0.693,0.667,0.645,0.597,0.537,0.486,1) MiniCAM includes emissions from charcoal production in Industry
R5ASIA,IMAGE - RCP3-PD (2.6),CH4 emissions - Residential and Commercial,TgCH4/yr,7.826,8.394,8.479,8.342,7.839,6.614,5.205,4.249,3.581,2.931,2.427,2.085,"1) MiniCAM includes emissions from ""other stationary"" and agricultural production in Res/Comm"
R5LAM,IMAGE - RCP3-PD (2.6),CH4 emissions - Residential and Commercial,TgCH4/yr,0.430,0.414,0.397,0.391,0.399,0.423,0.421,0.419,0.399,0.358,0.319,0.289,"1) MiniCAM includes emissions from ""other stationary"" and agricultural production in Res/Comm"
R5MAF,IMAGE - RCP3-PD (2.6),CH4 emissions - Residential and Commercial,TgCH4/yr,3.557,3.556,3.372,3.286,3.570,4.295,4.219,3.718,3.082,2.450,1.892,1.438,"1) MiniCAM includes emissions from ""other stationary"" and agricultural production in Res/Comm"
R5OECD,IMAGE - RCP3-PD (2.6),CH4 emissions - Residential and Commercial,TgCH4/yr,0.882,0.894,0.828,0.677,0.567,0.515,0.461,0.427,0.390,0.336,0.294,0.262,"1) MiniCAM includes emissions from ""other stationary"" and agricultural production in Res/Comm"
R5REF,IMAGE - RCP3-PD (2.6),CH4 emissions - Residential and Commercial,TgCH4/yr,0.454,0.310,0.204,0.199,0.158,0.083,0.070,0.062,0.063,0.060,0.054,0.055,"1) MiniCAM includes emissions from ""other stationary"" and agricultural production in Res/Comm"
World,IMAGE - RCP3-PD (2.6),CH4 emissions - Residential and Commercial,TgCH4/yr,13.149,13.568,13.280,12.894,12.532,11.929,10.375,8.873,7.513,6.135,4.986,4.128,"1) MiniCAM includes emissions from ""other stationary"" and agricultural production in Res/Comm"
R5ASIA,IMAGE - RCP3-PD (2.6),CH4 emissions - Ag waste burning on fields,TgCH4/yr,1.001,1.024,1.040,1.070,1.062,1.032,1.009,0.989,0.980,0.965,0.903,0.815,1) MiniCAM currently does not explicitly model waste burning on fields
R5LAM,IMAGE - RCP3-PD (2.6),CH4 emissions - Ag waste burning on fields,TgCH4/yr,0.117,0.128,0.141,0.173,0.131,0.083,0.080,0.080,0.079,0.077,0.072,0.069,1) MiniCAM currently does not explicitly model waste burning on fields
R5MAF,IMAGE - RCP3-PD (2.6),CH4 emissions - Ag waste burning on fields,TgCH4/yr,0.152,0.173,0.192,0.315,0.286,0.206,0.165,0.133,0.108,0.084,0.071,0.067,1) MiniCAM currently does not explicitly model waste burning on fields
R5OECD,IMAGE - RCP3-PD (2.6),CH4 emissions - Ag waste burning on fields,TgCH4/yr,0.115,0.118,0.120,0.121,0.120,0.109,0.105,0.101,0.098,0.093,0.087,0.081,1) MiniCAM currently does not explicitly model waste burning on fields
R5REF,IMAGE - RCP3-PD (2.6),CH4 emissions - Ag waste burning on fields,TgCH4/yr,0.067,0.070,0.071,0.065,0.049,0.034,0.031,0.031,0.031,0.030,0.028,0.027,1) MiniCAM currently does not explicitly model waste burning on fields
World,IMAGE - RCP3-PD (2.6),CH4 emissions - Ag waste burning on fields,TgCH4/yr,1.452,1.513,1.564,1.744,1.647,1.465,1.390,1.333,1.295,1.250,1.161,1.058,1) MiniCAM currently does not explicitly model waste burning on fields
R5ASIA,IMAGE - RCP3-PD (2.6),"CH4 emissions - Agriculture (Animals, Rice, & Soil)",TgCH4/yr,61.785,66.171,70.034,64.816,59.405,54.428,46.656,44.803,41.924,39.622,37.324,35.133,
